ID,GENDER,AGE,MARITAL_STATUS,PROFESSION
1,F,45,Married,Other
2,F,45,Married,Other
3,F,32,Single,Professional
4,F,33,Single,Other
5,M,23,Single,Professional
6,M,23,Single,Professional
7,M,23,Single,Professional
8,M,23,Single,Professional
9,M,23,Single,Professional
10,M,30,Single,Other
11,M,30,Single,Other
12,F,42,Married,Executive
13,F,30,Single,Retail
14,F,39,Married,Other
15,M,32,Married,Professional
16,F,22,Single,Retail
17,M,33,Single,Other
18,M,33,Single,Other
19,M,33,Single,Other
20,F,51,Married,Other
21,M,25,Single,Professional
22,M,25,Single,Professional
23,M,53,Unspecified,Other
24,M,26,Single,Other
25,M,32,Married,Trades
26,M,32,Married,Trades
27,M,43,Single,Sales
28,M,33,Married,Sales
29,M,33,Married,Sales
30,M,33,Married,Sales
31,M,18,Single,Student
32,F,36,Married,Other
33,F,22,Single,Hospitality
34,F,22,Single,Hospitality
35,F,22,Single,Hospitality
36,M,28,Married,Sales
37,F,28,Married,Other
38,M,33,Married,Other
39,F,31,Married,Other
40,F,31,Married,Other
41,F,31,Married,Other
42,F,28,Unspecified,Other
43,F,28,Unspecified,Other
44,F,22,Single,Other
45,F,40,Unspecified,Hospitality
46,F,33,Married,Other
47,M,43,Unspecified,Trades
48,M,33,Married,Other
49,M,20,Single,Other
50,M,20,Single,Other
51,F,37,Married,Other
52,F,36,Married,Other
53,F,36,Married,Other
54,F,36,Married,Other
55,M,23,Single,Sales
56,F,43,Married,Other
57,M,30,Married,Other
58,M,30,Married,Other
59,F,41,Unspecified,Hospitality
60,F,41,Unspecified,Hospitality
61,F,41,Unspecified,Hospitality
62,F,41,Unspecified,Hospitality
63,F,41,Unspecified,Hospitality
64,M,40,Married,Professional
65,M,40,Married,Professional
66,M,40,Married,Professional
67,F,41,Married,Other
68,F,35,Married,Other
69,F,35,Married,Other
70,F,35,Married,Other
71,M,39,Married,Other
72,M,39,Married,Other
73,M,36,Married,Other
74,M,36,Married,Other
75,M,35,Married,Professional
76,M,35,Married,Professional
77,M,34,Married,Professional
78,F,30,Married,Executive
79,F,30,Married,Executive
80,M,32,Married,Other
